"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2001","14,757","14,204","14,770","14,202","276.08M","4.19%"
"04/27/2001","14,928","14,752","15,135","14,752","265.27M","1.16%"
"04/30/2001","14,918","14,944","15,210","14,838","213.88M","-0.07%"
"05/02/2001","14,897","14,877","14,920","14,636","242.43M","-0.14%"
"05/03/2001","15,142","14,906","15,142","14,762","218.30M","1.64%"
"05/04/2001","15,093","15,142","15,304","15,041","187.59M","-0.32%"
"05/07/2001","14,875","15,103","15,222","14,862","171.28M","-1.44%"
"05/08/2001","14,747","14,861","14,958","14,656","216.21M","-0.86%"
"05/09/2001","14,779","14,717","14,867","14,576","234.49M","0.22%"
"05/10/2001","14,993","14,796","15,117","14,796","212.94M","1.45%"
"05/11/2001","14,493","15,012","15,018","14,410","184.58M","-3.33%"
"05/14/2001","14,133","14,499","14,507","14,104","154.21M","-2.48%"
"05/15/2001","14,226","14,141","14,314","14,110","257.18M","0.66%"
"05/16/2001","14,714","14,256","14,738","14,256","337.80M","3.43%"
"05/17/2001","14,794","14,727","15,095","14,725","209.33M","0.54%"
"05/18/2001","14,884","14,848","15,012","14,800","247.04M","0.61%"
"05/21/2001","15,128","14,871","15,158","14,807","290.99M","1.64%"
"05/22/2001","14,829","15,142","15,197","14,794","273.63M","-1.98%"
"05/23/2001","14,692","14,829","14,905","14,627","343.14M","-0.92%"
"05/24/2001","14,523","14,694","14,834","14,431","298.81M","-1.15%"
"05/25/2001","14,310","14,523","14,589","14,179","256.10M","-1.47%"
"05/28/2001","14,302","14,328","14,439","14,056","989.42M","-0.06%"
"05/29/2001","14,454","14,302","14,489","14,301","193.20M","1.06%"
"05/30/2001","14,489","14,459","14,579","14,347","215.99M","0.24%"
"05/31/2001","14,650","14,514","14,724","14,508","204.84M","1.11%"
"06/01/2001","14,792","14,654","14,792","14,409","215.98M","0.97%"
"06/04/2001","15,104","14,798","15,141","14,798","172.47M","2.11%"
"06/05/2001","15,395","15,107","15,406","15,032","299.14M","1.93%"
"06/06/2001","15,329","15,393","15,568","15,268","254.76M","-0.43%"
"06/07/2001","15,464","15,319","15,546","15,201","243.10M","0.88%"
"06/08/2001","15,366","15,469","15,644","15,355","211.87M","-0.63%"
"06/11/2001","15,224","15,291","15,397","15,159","160.55M","-0.92%"
"06/12/2001","15,173","15,238","15,238","14,956","206.82M","-0.33%"
"06/13/2001","15,403","15,175","15,600","15,175","330.04M","1.52%"
"06/15/2001","14,985","15,386","15,386","14,964","123.03M","-2.71%"
"06/18/2001","14,355","14,982","14,982","14,333","214.87M","-4.20%"
"06/19/2001","14,401","14,375","14,541","14,245","243.54M","0.32%"
"06/20/2001","14,571","14,396","14,599","14,393","214.02M","1.18%"
"06/21/2001","14,823","14,534","14,841","14,506","252.61M","1.73%"
"06/22/2001","14,682","14,870","15,104","14,677","216.59M","-0.95%"
"06/25/2001","14,540","14,682","14,871","14,479","206.28M","-0.97%"
"06/26/2001","14,460","14,521","14,620","14,401","268.07M","-0.55%"
"06/27/2001","14,308","14,477","14,630","14,265","175.30M","-1.05%"
"06/28/2001","14,391","14,321","14,426","14,164","180.67M","0.58%"
"06/29/2001","14,560","14,412","14,640","14,376","160.35M","1.17%"
"07/02/2001","14,555","14,579","14,659","14,483","159.94M","-0.03%"
"07/03/2001","14,353","14,561","14,771","14,325","184.57M","-1.39%"
"07/04/2001","14,056","14,352","14,395","13,980","183.67M","-2.07%"
"07/05/2001","14,048","14,084","14,281","13,943","243.17M","-0.06%"
"07/06/2001","13,907","14,030","14,062","13,788","230.20M","-1.00%"
"07/10/2001","13,570","13,930","14,060","13,564","168.17M","-2.42%"
"07/11/2001","13,812","13,508","13,853","13,361","286.02M","1.78%"
"07/12/2001","13,913","13,812","13,987","13,636","232.12M","0.73%"
"07/13/2001","14,078","13,907","14,087","13,737","166.65M","1.19%"
"07/16/2001","13,811","14,081","14,120","13,811","126.17M","-1.90%"
"07/17/2001","14,169","13,813","14,218","13,813","222.67M","2.59%"
"07/18/2001","13,791","14,171","14,236","13,778","151.10M","-2.67%"
"07/19/2001","13,762","13,795","13,953","13,641","126.56M","-0.21%"
"07/20/2001","14,092","13,766","14,092","13,659","150.00M","2.40%"
