"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/1992","1,427.99","1,427.99","1,427.99","1,427.99","27.84M","0.21%"
"10/09/1992","1,425.02","1,425.02","1,425.02","1,425.02","24.62M","-0.90%"
"10/08/1992","1,437.94","1,437.94","1,437.94","1,437.94","37.86M","-1.07%"
"10/07/1992","1,453.42","1,453.42","1,453.42","1,453.42","47.01M","0.47%"
"10/06/1992","1,446.67","1,446.67","1,446.67","1,446.67","63.72M","-0.53%"
"10/05/1992","1,454.35","1,454.35","1,454.35","1,454.35","49.85M","4.65%"
"10/02/1992","1,389.72","1,389.72","1,389.72","1,389.72","60.38M","2.25%"
"10/01/1992","1,359.12","1,359.12","1,359.12","1,359.12","42.17M","2.42%"
"09/30/1992","1,327.07","1,327.07","1,327.07","1,327.07","65.60M","2.95%"
"09/29/1992","1,289.09","1,289.09","1,289.09","1,289.09","66.89M","2.48%"
"09/28/1992","1,257.90","1,257.90","1,257.90","1,257.90","28.80M","0.46%"
"09/25/1992","1,252.10","1,252.10","1,252.10","1,252.10","32.38M","-0.42%"
"09/24/1992","1,257.35","1,257.35","1,257.35","1,257.35","35.33M","-0.56%"
"09/23/1992","1,264.42","1,264.42","1,264.42","1,264.42","37.93M","-0.60%"
"09/22/1992","1,272.06","1,272.06","1,272.06","1,272.06","48.53M","-1.83%"
"09/21/1992","1,295.75","1,295.75","1,295.75","1,295.75","22.35M","-0.92%"
"09/18/1992","1,307.74","1,307.74","1,307.74","1,307.74","36.71M","-0.79%"
"09/17/1992","1,318.20","1,318.20","1,318.20","1,318.20","22.36M","-0.75%"
"09/15/1992","1,328.17","1,328.17","1,328.17","1,328.17","90.27M","-1.09%"
"09/14/1992","1,342.81","1,342.81","1,342.81","1,342.81","44.63M","3.76%"
"09/11/1992","1,294.09","1,294.09","1,294.09","1,294.09","43.53M","0.65%"
"09/10/1992","1,285.77","1,285.77","1,285.77","1,285.77","56.49M","-3.03%"
"09/09/1992","1,325.96","1,325.96","1,325.96","1,325.96","80.53M","-3.20%"
"09/08/1992","1,369.85","1,369.85","1,369.85","1,369.85","29.46M","-1.11%"
"09/07/1992","1,385.28","1,385.28","1,385.28","1,385.28","8.95M","-0.53%"
"09/04/1992","1,392.64","1,392.64","1,392.64","1,392.64","26.64M","-0.19%"
"09/03/1992","1,395.27","1,395.27","1,395.27","1,395.27","35.60M","0.86%"
"09/02/1992","1,383.36","1,383.36","1,383.36","1,383.36","41.53M","-0.06%"
"09/01/1992","1,384.14","1,384.14","1,384.14","1,384.14","31.08M","-1.16%"
"08/31/1992","1,400.37","1,400.37","1,400.37","1,400.37","11.65M","-0.61%"
"08/28/1992","1,408.96","1,408.96","1,408.96","1,408.96","19.98M","-1.00%"
"08/27/1992","1,423.19","1,423.19","1,423.19","1,423.19","50.55M","1.89%"
"08/26/1992","1,396.76","1,396.76","1,396.76","1,396.76","43.50M","3.23%"
